koi_disposition,koi_period,koi_duration,koi_depth,koi_ror,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_eccen,koi_impact,koi_num_transits,koi_model_snr,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_steff,koi_slogg,koi_srad,koi_smass,koi_sage,koi_kepmag,koi_gmag,koi_rmag,koi_jmag
CONFIRMED,0.968527683,1.3672,1.1460e+02,0.012523,1.21,0.0191,65.17,1677,1867,0,0.941,1382,16.9,0,0,0,0,5580,4.538,0.886,0.989,,14.511,14.99,14.478,13.305
CONFIRMED,0.664074145,1.0925,2.1260e+02,0.013695,1.19,0.0143,82.63,1703,1998.48,0,0.525,2013,20.9,0,0,0,0,5178,4.585,0.797,0.896,,15.645,16.377,15.579,14.162
FALSE POSITIVE,11.7489907,4.043,3.6700e+01,0.005592,1.01,0.1077,89.95,1114,363.51,0,0.1228,,12.5,0,0,0,0,6440,4.081,1.655,1.204,,11.638,11.931,11.583,10.661
CANDIDATE,175.603366,9.543,5.0680e+02,0.026036,2.87,0.6288,88.99,348,3.46,0,0.952,7,14.7,0,0,0,0,6225,4.461,1.009,1.07,,15.054,15.474,15.003,13.926
CONFIRMED,3.849371737,2.632,1.2986e+03,0.039601,12.94,0.0548,80.61,2034,4055.29,0,0.915,276,132.7,0,0,0,0,6244,3.657,2.992,1.482,,11.432,11.755,11.354,10.475
FALSE POSITIVE,0.366197145,1.2335,2.7530e+02,0.014924,51.34,0.0122,81.97,9983,2335438.28,0,0.319,1824,16.7,0,1,0,0,4448,1.694,31.5,1.789,,11.059,12.675,11.396,8.468
CONFIRMED,4.164384505,1.8464,2.3380e+03,0.045876,2.54,0.0411,87.73,590,28.75,0,0.59,253,132.1,0,0,0,0,3808,4.754,0.508,0.534,,14.752,16.233,14.871,12.484
CONFIRMED,2.10433534,1.1168,2.4210e+02,0.016787,0.79,0.025,83.39,662,45.34,0,0.872,634,20.7,0,0,0,0,3605,4.837,0.433,0.47,,14.488,16.237,14.837,11.878
CONFIRMED,28.8431751,3.171,7.5670e+02,0.031071,2.66,0.1679,88.43,491,13.77,0,0.913,44,15,0,0,0,0,5151,4.528,0.785,0.758,,15.652,16.403,15.608,14.141
FALSE POSITIVE,1.378649746,1.2232,2.2462e+04,0.135797,6.51,0.0188,89.42,734,68.34,0,0.099,770,172.2,0,1,0,0,3440,4.82,0.439,0.465,,15.373,17.092,15.754,12.701
FALSE POSITIVE,1.112207126,1.35,5.4700e+01,0.0069,0.73,0.0214,86.06,1797,2467.09,0,0.402,1202,13,0,0,1,0,6046,4.486,0.972,1.053,,13.823,14.243,13.765,12.714
CANDIDATE,64.034363,9.174,7.5880e+02,0.040604,3.47,0.2926,86.84,411,6.72,0,0.985,17,16.9,0,0,0,0,5691,4.561,0.783,0.814,,15.341,15.872,15.298,14.08
FALSE POSITIVE,1.303576682,1.021,2.4550e+02,0.014449,1.51,0.0237,89.54,1694,1940.45,0,0.08,821,22.1,0,0,1,0,6045,4.494,0.955,1.038,,14.834,15.311,14.79,13.657
FALSE POSITIVE,1.958577398,2.388,4.5300e+02,0.020167,1.8,0.0296,83.57,1252,579.19,0,0.59,511,24.5,0,1,1,0,5402,4.568,0.816,0.901,,15.902,16.551,15.829,14.518
CONFIRMED,5.19103699,4.222,2.9010e+02,0.01566,1.92,0.0625,89.3,1183,462.91,0,0.117,224,25.2,0,0,0,0,6321,4.417,1.125,1.207,,15.438,15.87,15.374,14.34
CONFIRMED,4.86638504,2.296,1.4380e+02,0.010894,1.32,0.0557,89.38,1121,372.7,0,0.176,214,17.1,0,0,0,0,5688,4.333,1.111,0.969,,13.987,14.512,13.935,12.759
FALSE POSITIVE,4.79176993,4.52,1.1660e+02,0.009839,0.81,0.0498,87.21,883,143.74,0,0.372,282,23,0,0,1,0,5138,4.536,0.756,0.717,,14.287,14.889,14.235,13.02
CONFIRMED,25.1933989,4.62,4.8120e+02,0.021238,1.95,0.156,88.78,513,16.34,0,0.679,50,18,0,0,0,0,5009,4.491,0.84,0.797,,15.629,16.336,15.588,14.183
FALSE POSITIVE,0.759762021,4.912,2.2700e+02,0.197356,24.2,0.0171,11.71,2280,6419.35,0,1.183,1764,65.3,0,0,0,1,6386,4.402,1.123,1.161,,14.871,15.236,14.806,13.829
CANDIDATE,4.790912471,0.5134,3.6070e+02,0.030503,2.25,0.0486,87.78,717,62.51,0,0.969,282,17.6,0,0,0,0,4359,4.601,0.676,0.665,,14.452,15.479,14.387,12.746
CONFIRMED,6.49441464,2.344,3.5730e+02,0.021621,1.75,0.0612,84.68,732,68.05,0,0.911,208,17.7,0,0,0,0,4769,4.557,0.742,0.724,,15.602,16.487,15.514,13.939
CONFIRMED,2.576571021,1.5997,8.5280e+02,0.0267,1.57,0.03,89.14,717,62.42,0,0.187,499,63.6,0,0,0,0,3834,4.708,0.539,0.541,,15.264,16.628,15.264,13.184
CONFIRMED,28.4750006,4.718,7.6380e+02,0.029051,2.64,0.1689,88.28,489,13.5,0,0.835,41,21.4,0,0,0,0,4996,4.497,0.831,0.791,,15.86,16.533,15.801,14.388
CONFIRMED,14.7966306,5.613,5.6100e+01,0.006866,0.98,0.1268,89.48,874,138.25,0,0.182,89,22.4,0,0,0,0,6175,4.299,1.307,1.244,,11.714,12.108,11.726,10.785
CONFIRMED,11.25401871,4.759,4.3340e+02,0.019863,2.42,0.0991,87.68,888,147.13,0,0.603,57,17,0,0,0,0,5995,4.351,1.118,1.022,,15.166,15.649,15.127,14.017
CONFIRMED,9.18244299,4.318,8.7600e+01,0.008634,1.24,0.0886,89.07,1052,289.74,0,0.257,143,20.3,0,0,0,0,6194,4.242,1.314,1.098,,13.223,13.494,13.178,12.325
CONFIRMED,14.6134781,5.266,7.2800e+01,0.007832,1.12,0.1208,89.77,901,155.87,0,0.086,92,15.2,0,0,0,0,6194,4.242,1.314,1.098,,13.223,13.494,13.178,12.325
FALSE POSITIVE,119.682075,31.28,1.7041e+03,0.305437,30.39,0.48,82.87,351,3.59,0,1.259,12,38.1,1,0,1,1,5778,4.531,0.911,1.028,,15.903,16.464,15.832,14.678
CONFIRMED,42.9923284,4.726,1.1201e+03,0.032127,3.32,0.2336,89.34,496,14.33,0,0.643,32,34.1,0,0,0,0,5593,4.45,0.945,0.918,,11.921,12.429,11.862,10.672
CONFIRMED,6.88341278,2.0674,4.8740e+02,0.020209,2.63,0.075,89.82,1080,321.63,0,0.083,151,35.4,0,0,0,0,6139,4.359,1.193,1.19,,10.868,11.182,10.802,9.911
FALSE POSITIVE,4.593595496,2.7468,4.5034e+04,0.457262,44.14,0.0538,84.31,1022,258.12,0,1.147,130,92,0,1,0,0,5717,4.538,0.884,0.984,,16.444,17.049,16.376,15.036
CONFIRMED,197.5111484,11.106,2.5756e+03,0.05206,9.52,0.6711,89.49,391,5.54,0,0.814,7,175.2,0,0,0,0,5616,4.004,1.674,1.032,,13.349,13.794,13.282,12.169
CONFIRMED,11.1726723,6.106,7.6800e+01,0.008182,1.5,0.0989,87.64,1019,255.06,0,0.504,108,17,0,0,0,0,5616,4.004,1.674,1.032,,13.349,13.794,13.282,12.169
CONFIRMED,2.53573284,3.989,6.8000e+01,0.007455,1.36,0.0368,89.37,1671,1842.18,0,0.054,524,25.5,0,0,0,0,5616,4.004,1.674,1.032,,13.349,13.794,13.282,12.169
CONFIRMED,6.79164656,3.343,1.0260e+02,0.009257,1.01,0.0658,89.55,994,230.81,0,0.121,200,18.5,0,0,0,0,5772,4.351,1.003,0.824,,13.987,14.355,13.945,12.909
CONFIRMED,11.8376933,3.381,9.2900e+01,0.009122,1,0.0953,88.58,826,110.03,0,0.557,110,12.7,0,0,0,0,5772,4.351,1.003,0.824,,13.987,14.355,13.945,12.909
CONFIRMED,18.5525162,4.385,7.7150e+02,0.027989,2.53,0.1336,87.94,612,33.14,0,0.78,57,17.2,0,0,0,0,5569,4.566,0.829,0.928,,15.714,16.326,15.621,14.298
CANDIDATE,47.3659328,7.929,7.5700e+02,0.121506,11.97,0.2475,85.19,481,12.62,0,1.085,26,16,0,0,0,0,5708,4.482,0.902,0.902,,15.817,16.405,15.776,14.533
CONFIRMED,13.3669309,3.733,1.2200e+01,0.003223,0.27,0.1025,88.81,656,43.71,0,0.4064,,7.4,0,0,0,0,5417,4.567,0.772,0.803,,9.705,10.418,9.779,8.356
FALSE POSITIVE,1.045492348,2.933,2.8700e+01,0.005248,0.83,0.0198,70.39,2291,6522.69,0,0.708,1277,21.7,0,1,1,0,6057,4.088,1.457,0.95,,12.804,13.2,12.758,11.702
CONFIRMED,4.86634094,1.885,3.6670e+02,0.021379,1.94,0.052,84.73,881,142.39,0,0.895,229,15.2,0,0,0,0,4996,4.497,0.831,0.791,,15.86,16.533,15.801,14.388
CONFIRMED,5.60402307,1.0273,2.2490e+02,0.015587,1.25,0.0563,88.25,774,84.65,0,0.8,237,20.6,0,0,0,0,4847,4.581,0.737,0.756,,13.713,14.546,13.635,12.135
CONFIRMED,13.0313583,4.521,5.7330e+02,0.024587,2.88,0.1057,86.61,774,84.94,0,0.813,89,18.9,0,0,0,0,5514,4.345,1.071,0.926,,15.829,16.475,15.764,14.411
CONFIRMED,40.9905002,7.336,2.9730e+02,0.015658,2.41,0.2383,89.94,627,36.5,0,0.048,35,15.4,0,0,0,0,5842,4.17,1.41,1.072,,15.272,15.67,15.218,14.153
CONFIRMED,57.2932309,4.878,7.7360e+02,0.024537,1.95,0.2597,89.99,355,3.76,0,0.021,20,15.7,0,0,0,0,4806,4.564,0.729,0.709,,15.699,16.577,15.654,14.049
CONFIRMED,8.00504749,3.32,1.8750e+02,0.012616,1.52,0.0818,89.83,1035,271.68,0,0.054,165,15.6,0,0,0,0,6398,4.411,1.101,1.141,,14.79,15.172,14.741,13.724
CONFIRMED,12.13070414,3.843,2.1120e+02,0.013392,1.61,0.108,89.8,901,155.85,0,0.083,100,15.3,0,0,0,0,6398,4.411,1.101,1.141,,14.79,15.172,14.741,13.724
CONFIRMED,5.61357653,2.905,1.6230e+02,0.011749,1.41,0.0646,89.54,1165,435.61,0,0.119,232,15.2,0,0,0,0,6398,4.411,1.101,1.141,,14.79,15.172,14.741,13.724
CANDIDATE,29.2254372,5.293,1.7410e+02,0.012233,1.35,0.1901,89.44,614,33.69,0,0.384,45,15.7,0,0,0,0,6049,4.461,1.008,1.069,,14.162,14.625,14.111,13.054
FALSE POSITIVE,1.33255087,3.565,1.2330e+02,0.010297,1.19,0.0229,81.2,1728,2107.29,0,0.415,853,14,0,0,1,1,5774,4.347,1.054,0.903,,15.053,15.617,15.012,13.811
FALSE POSITIVE,40.8792243,7.005,4.1360e+02,0.020582,1.62,0.2129,88.43,437,8.59,0,0.79,32,23.4,0,1,1,1,5383,4.609,0.72,0.769,,14.923,15.535,14.888,13.58
CONFIRMED,18.8262877,2.344,7.9580e+02,0.025362,2.34,0.128,89.82,591,28.85,0,0.198,44,19.9,0,0,0,0,5215,4.481,0.845,0.787,,15.279,15.969,15.193,13.832
CANDIDATE,13.9034057,3.408,2.6140e+02,0.017373,1.55,0.1058,86.96,646,41.08,0,0.871,101,15.3,0,0,0,0,5261,4.523,0.819,0.817,,14.782,15.399,14.545,13.222
CONFIRMED,3.41045981,2.866,1.3620e+02,0.014889,1.06,0.0395,70.06,892,149.88,0,0.971,302,22.5,0,0,0,0,4983,4.66,0.651,0.715,,14.139,14.74,14.089,12.78
CONFIRMED,4.76702759,2.013,1.6340e+02,0.011605,1.19,0.0528,89.76,1046,282.97,0,0.077,223,14.3,0,0,0,0,5629,4.43,0.937,0.864,,14.431,14.991,14.379,13.162
CONFIRMED,13.62801048,3.5374,9.1280e+02,0.035168,3.28,0.1039,86.08,639,39.48,0,0.927,59,26.7,0,0,0,0,5052,4.48,0.855,0.805,,15.462,16.266,15.387,13.975
CANDIDATE,53.3580444,6.812,7.3610e+02,0.030108,3.41,0.2695,88.24,474,11.94,0,0.905,19,19.7,0,0,0,0,5481,4.369,1.036,0.915,,15.114,15.632,15.067,13.931
CONFIRMED,16.83203175,4.031,3.2600e+02,0.016896,1.86,0.1256,88.9,690,53.44,0,0.533,82,21.6,0,0,0,0,5518,4.4,1.008,0.932,,14.834,15.373,14.794,13.603
FALSE POSITIVE,13.37499553,1.639,4.5810e+02,0.01917,2.01,0.1047,89.96,703,57.85,0,0.045,74,16.9,0,1,0,0,5263,4.404,0.961,0.852,,14.738,15.374,14.646,13.353
FALSE POSITIVE,4.35370136,1.913,1.6890e+02,0.012319,1.33,0.0495,87.95,1179,456.83,0,0.535,243,12.2,0,0,1,0,5992,4.382,0.985,0.852,,14.685,15.178,14.663,13.484
FALSE POSITIVE,134.96694,18.43,6.8400e+01,0.007583,0.87,0.5244,89.95,385,5.18,0,0.0156,,6.9,0,0,0,0,6154,4.416,1.053,1.049,,13.314,13.715,13.26,12.256
CONFIRMED,1.385787741,1.6449,8.5400e+01,0.008438,0.55,0.0206,86.72,1008,245.15,0,0.35,963,19.1,0,0,0,0,4239,4.667,0.6,0.611,,14.131,15.206,14.071,12.256
CONFIRMED,12.02295362,1.2667,7.7860e+02,0.034126,3.28,0.1016,87.95,776,85.78,0,0.965,114,20.1,0,0,0,0,5982,4.535,0.879,0.967,,15.646,16.125,15.602,14.524
CONFIRMED,16.79716262,3.83,1.0238e+03,0.036114,2.75,0.1158,87.02,503,15.19,0,0.899,81,21.2,0,0,0,0,4652,4.617,0.697,0.734,,15.856,16.91,15.796,14.083
CONFIRMED,18.59611518,2.3052,8.1380e+02,0.025959,1.53,0.112,89.99,371,4.48,0,0.014,61,27.6,0,0,0,0,3834,4.708,0.539,0.541,,15.264,16.628,15.264,13.184
CONFIRMED,5.77440326,1.768,2.4530e+02,0.014483,0.8,0.0511,88.94,529,18.6,0,0.425,176,11.8,0,0,0,0,3808,4.754,0.508,0.534,,14.752,16.233,14.871,12.484
FALSE POSITIVE,2.622134451,4.735,1.2820e+02,0.010939,1.64,0.0382,78.47,1548,1359.14,0,0.664,510,42.9,0,0,1,0,5864,4.199,1.369,1.08,,13.915,14.262,13.822,12.809
CONFIRMED,11.47685263,2.756,2.4060e+02,0.01398,1.58,0.0976,89.87,796,94.94,0,0.07,117,16.5,0,0,0,0,5550,4.384,1.032,0.941,,15.051,15.512,15,13.925
CANDIDATE,73.711039,10.062,1.3670e+02,0.010817,1.77,0.3741,89.7,563,23.81,0,0.284,17,21.1,0,0,0,0,6374,4.193,1.502,1.284,,12.643,13.076,12.587,11.65
CANDIDATE,14.43348326,2.663,5.2680e+02,0.211933,16.25,0.106,83.54,558,22.91,0,1.185,91,14.8,0,0,0,0,4915,4.627,0.702,0.787,,15.323,16.105,15.246,13.762
FALSE POSITIVE,40.0088894,3.616,5.8230e+02,0.185777,20.75,0.2264,86.83,585,27.65,0,1.16,35,20.2,0,1,1,0,6237,4.403,1.023,0.964,,15.04,15.468,15.005,13.878
CANDIDATE,6.35705314,1.324,2.7220e+02,0.015121,1.59,0.0682,89.96,990,227.07,0,0.023,170,17.3,0,0,0,0,5982,4.493,0.96,1.047,,14.216,14.675,14.135,13.059
FALSE POSITIVE,6.58738839,4.758,2.5850e+02,0.015075,1.35,0.0665,86.75,871,136.02,0,0.523,198,15.7,0,0,1,1,5616,4.564,0.822,0.907,,15.575,16.156,15.519,14.313
FALSE POSITIVE,0.759706632,1.0896,3.9700e+01,0.006034,1.38,0.0206,83.57,3834,51080.76,0,0.52,1358,21.6,0,1,1,0,8621,4.101,2.094,2.018,,12.438,12.412,12.446,12.034
CONFIRMED,4.37033233,2.845,1.7780e+02,0.012063,1.56,0.0519,89.55,1191,475.39,0,0.093,307,17.7,0,0,0,0,5657,4.282,1.182,0.975,,15.133,15.607,15.08,13.97
CANDIDATE,1.530515205,0.5945,6.5970e+02,0.029563,0.84,0.0163,85.18,608,32.46,0,0.882,873,23.2,0,0,0,0,3462,5.004,0.259,0.247,,15.63,,15.85,13.185
FALSE POSITIVE,1.08070294,3.363,1.4560e+02,0.011738,1.04,0.0194,69.81,1565,1419.52,0,0.688,602,17.6,0,1,0,1,5482,4.539,0.813,0.833,,15.986,16.638,16.014,14.819
FALSE POSITIVE,4.74254518,1.023,3.0570e+02,0.016086,1.77,0.0573,89.92,1118,369.34,0,0.051,286,13.2,0,0,0,1,6046,4.478,1.007,1.111,,14.413,14.849,14.345,13.321
FALSE POSITIVE,18.13559979,2.019,4.5270e+02,0.21603,24.49,0.1396,85.68,744,72.36,0,1.194,78,16.4,0,1,1,0,6184,4.448,1.038,1.1,,14.99,15.413,14.934,13.896
CONFIRMED,51.20690303,8.99,,,,,,,,,,,,1,0,0,0,,,,,,9.705,10.418,9.779,8.356
CONFIRMED,3.70429015,3.37,5.5700e+01,0.006909,1.45,0.0502,90,1839,2708.57,0,0.001,360,15.9,0,0,0,0,6732,3.958,1.927,1.23,,12.402,12.599,12.336,11.503
CONFIRMED,37.3331165,7.643,1.8780e+02,0.014415,2.5,0.226,87.64,657,44.17,0,0.851,33,22.5,0,0,0,0,5623,4.079,1.588,1.104,,13.611,14.018,13.546,12.498
CANDIDATE,17.6997392,2.76,7.5270e+02,0.024246,1.96,0.1218,89.88,523,17.73,0,0.105,51,19.8,0,0,0,0,4807,4.583,0.742,0.769,,15.44,16.32,15.371,13.796
CONFIRMED,7.9709719,1.2893,4.8840e+02,0.025116,2.27,0.0762,87.65,760,79.1,0,0.911,166,17.3,0,0,0,0,5237,4.572,0.826,0.927,,15.43,16.15,15.353,14.013
CONFIRMED,6.03355539,10.049,8.9500e+01,0.008535,3.34,0.0663,85.42,1598,1540.84,0,0.35,182,26.1,0,0,0,0,4924,3.356,3.588,1.066,,13.274,13.991,13.23,11.843
CONFIRMED,3.02558494,3.0008,1.2830e+02,0.011717,1.62,0.0418,79.13,1484,1148.47,0,0.839,440,23.8,0,0,0,0,6123,4.263,1.263,1.066,,13.925,14.323,13.866,12.861
FALSE POSITIVE,0.933746783,4.255,4.1750e+02,0.017991,1.3,0.0162,89.79,1309,696.63,0,0.007,1404,62.8,0,0,1,1,4643,4.61,0.663,0.652,,15.647,16.591,15.62,13.88
FALSE POSITIVE,6.09740316,4.635,5.6850e+02,0.227885,45.49,0.0831,63.03,1826,2630.31,0,1.2051,222,14,0,0,1,0,8828,4.227,1.828,2.053,,13.424,13.449,13.415,12.953
CANDIDATE,0.754457729,0.5891,2.4820e+02,0.01586,2.07,0.0158,84.79,2131,4879.62,0,0.677,1771,31.1,0,0,0,0,5561,4.25,1.193,0.925,,14.482,14.95,14.43,13.364
CONFIRMED,2.7612237,3.681,6.6800e+01,0.007563,1.84,0.0435,87.58,2017,3906.36,0,0.238,379,14.2,0,0,0,0,6381,3.897,2.232,1.436,,13.321,13.781,13.267,12.239
FALSE POSITIVE,5.59727625,1.659,2.0080e+02,0.01316,1.26,0.0603,89.04,975,213.15,0,0.403,236,15.3,0,0,1,1,5796,4.522,0.876,0.93,,14.626,15.154,14.588,13.408
CANDIDATE,62.6825769,2.327,3.9890e+02,0.117521,39.8,0.3583,88.65,916,166.36,0,1.095,20,17.8,0,0,0,0,7058,3.648,3.101,1.562,,13.072,13.247,13.013,12.18
FALSE POSITIVE,50.5715805,3.726,1.2826e+03,0.032084,2.74,0.2556,89.96,406,6.44,0,0.074,25,19.9,0,1,1,0,5262,4.59,0.783,0.875,,15.812,16.481,15.74,14.435
CANDIDATE,16.2707207,5.707,4.6800e+02,0.209216,28.42,0.1323,76.82,827,110.79,0,1.187,67,13,0,0,0,0,6117,4.315,1.244,1.17,,14.94,15.416,14.895,13.773
CONFIRMED,2.032319072,1.6762,3.1550e+02,0.016327,1.87,0.0326,89.19,1542,1333.35,0,0.133,654,24.5,0,0,0,0,6156,4.443,1.05,1.114,,15.298,15.738,15.235,14.121
FALSE POSITIVE,4.100870416,8.15361,1.2352e+05,0.500096,82.46,0.0517,78.35,1413,939.61,0,0.938,654,2619.2,0,1,0,0,5923,4.118,1.51,1.09,,11.26,12.829,11.585,10.624
CONFIRMED,4.35407371,2.427,2.7710e+02,0.016467,1.63,0.0484,85.65,1043,279.53,0,0.734,297,19,0,0,0,0,5455,4.421,0.909,0.795,,15.404,16.042,15.35,14.001
CONFIRMED,11.32269749,3.517,3.1100e+02,0.021497,1.51,0.0848,84.06,554,22.24,0,0.951,90,16,0,0,0,0,4563,4.624,0.642,0.634,,15.006,15.965,14.956,13.286
CONFIRMED,13.71218522,2.437,7.8670e+02,0.027248,2.47,0.1091,88.82,676,49.26,0,0.68,86,22.6,0,0,0,0,5550,4.562,0.831,0.923,,15.935,16.562,15.884,14.534
CONFIRMED,12.14684625,6.197,7.0700e+01,0.008175,1.75,0.1096,86.45,1097,342.49,0,0.687,111,27.1,0,0,0,0,5877,3.927,1.963,1.187,,11.821,12.217,11.759,10.677
CONFIRMED,7.46718958,3.633,7.5700e+01,0.008144,1.04,0.0806,87.99,1035,271.25,0,0.486,176,18.8,0,0,0,0,6161,4.399,1.169,1.251,,12.77,13.145,12.708,11.771
CANDIDATE,5.42204257,2.952,7.9100e+01,0.010112,1.39,0.0617,79.76,1222,527.11,0,0.94,218,10.7,0,0,0,0,6123,4.263,1.263,1.066,,13.925,14.323,13.866,12.861
CONFIRMED,48.8882668,6.468,4.6280e+02,0.034391,2.96,0.2395,86.81,386,5.23,0,0.988,27,13.5,0,0,0,0,4821,4.529,0.788,0.765,,14.985,15.788,14.933,13.404
CONFIRMED,51.1319346,6.019,3.8230e+02,0.020107,2.43,0.2705,88.77,542,20.36,0,0.829,28,19.6,0,0,0,0,6071,4.353,1.107,1.005,,14.423,14.861,14.34,13.207
FALSE POSITIVE,133.516435,2.196,5.1000e+02,0.021721,2.01,0.5006,89.95,344,3.3,0,0.6285,,6.5,0,0,0,0,5989,4.553,0.848,0.935,,15.309,15.764,15.269,14.188
CONFIRMED,39.8312536,2.442,3.8880e+02,0.017664,1.46,0.2119,89.89,420,7.33,0,0.24,36,15.8,0,0,0,0,5026,4.58,0.759,0.8,,14.125,14.773,14.079,12.729
CONFIRMED,9.549277089,1.5832,1.8269e+03,0.038907,1.57,0.0646,89.92,374,4.62,0,0.068,138,112.2,0,0,0,0,3547,4.899,0.369,0.396,,14.486,16.132,14.731,12
CANDIDATE,24.1073172,10.465,1.0420e+02,0.009958,2.74,0.1872,86.94,1065,304.22,0,0.693,58,23.6,0,0,0,0,6585,3.813,2.517,1.502,,12.605,12.969,12.547,11.529
CONFIRMED,17.60461401,3.716,2.2921e+03,0.046863,2.64,0.1072,88.52,362,4.07,0,0.715,77,80.1,0,0,0,0,3744,4.737,0.516,0.529,,15.613,17.061,15.696,13.418
FALSE POSITIVE,1.228721184,1.041,4.6560e+02,0.01944,1.62,0.0203,88.68,1324,728.99,0,0.208,1085,26.4,0,0,1,0,4897,4.542,0.764,0.742,,15.76,16.604,15.697,14.191
CANDIDATE,51.5738653,2.784,9.0070e+02,0.0272,2.41,0.2638,89.89,417,7.12,0,0.275,26,13.2,0,0,0,0,5380,4.581,0.813,0.924,,15.96,16.628,15.892,14.543
CONFIRMED,4.69505576,3.058,2.4000e+02,0.014207,1.49,0.0557,89,1098,343.6,0,0.204,290,15.9,0,0,0,0,5999,4.494,0.959,1.045,,15.711,16.21,15.656,14.505
FALSE POSITIVE,0.569115976,2.028,7.9690e+02,0.025083,1.8,0.0116,88.28,1589,1504.24,0,0.068,833,59.8,0,1,1,1,4788,4.61,0.656,0.639,,12.093,12.847,12.051,10.842
FALSE POSITIVE,7.258450123,5.7297,3.7147e+03,0.05504,5.53,0.0736,89.72,880,141.3,0,0.05,182,288.6,0,0,0,0,5638,4.513,0.92,1.006,,14.747,15.334,14.688,13.461
FALSE POSITIVE,6.0959841,10.39,1.1270e+02,0.010253,0.99,0.0599,79.27,988,225.07,0,0.657,224,29.2,0,0,1,1,5826,4.43,0.885,0.767,,14.104,14.59,14.08,12.919
CONFIRMED,22.9221181,8.2,1.4030e+02,0.011289,1.33,0.1564,88.01,684,51.7,0,0.603,60,24,0,0,0,0,5897,4.357,1.081,0.97,,13.578,13.954,13.529,12.501
CONFIRMED,16.10474503,5.712,1.2410e+02,0.010181,3.21,0.1418,89.4,1159,425.93,0,0.224,64,25.4,0,0,0,0,5822,3.683,2.886,1.464,,12.249,12.644,12.186,11.136
CONFIRMED,7.42697378,3.206,2.0520e+02,0.013086,1.4,0.0734,88.86,899,154.52,0,0.337,183,15.4,0,0,0,0,5573,4.434,0.982,0.957,,14.985,15.536,14.951,13.706
FALSE POSITIVE,0.874629873,1.782,6.8100e+01,0.007979,0.72,0.0165,76.98,1597,1538.25,0,0.665,1533,19.2,0,0,1,0,5099,4.491,0.832,0.781,,14.107,14.827,14.037,12.683
FALSE POSITIVE,5.46091846,1.781,1.7200e+02,0.012282,1.25,0.0591,88.95,1106,353.34,0,0.4,247,21.2,0,1,1,0,6319,4.465,0.93,0.919,,14.332,14.711,14.305,13.287
CONFIRMED,3.17323012,1.9094,2.0450e+02,0.012708,0.88,0.0362,89.62,830,112.21,0,0.085,431,21.4,0,0,0,0,4500,4.632,0.633,0.626,,14.993,15.989,14.934,13.261
CONFIRMED,13.2970695,3.283,2.1970e+02,0.013131,0.91,0.094,89.95,515,16.64,0,0.03,98,14.9,0,0,0,0,4500,4.632,0.633,0.626,,14.993,15.989,14.934,13.261
CONFIRMED,5.398752862,3.4303,3.4650e+02,0.0169,2.21,0.0602,89.93,1140,398.33,0,0.015,252,289.6,0,0,0,0,5790,4.279,1.198,0.997,,9.997,10.41,9.926,8.975
FALSE POSITIVE,5.26648126,1.964,9.7800e+01,0.009233,1.07,0.0598,88.78,1155,420.53,0,0.403,255,16,0,0,1,1,6204,4.394,1.065,1.021,,13.648,14.044,13.596,12.591
FALSE POSITIVE,2.67596808,2.021,4.2060e+02,0.018071,1.57,0.0348,89.36,998,234.19,0,0.115,322,17.5,0,0,1,0,4732,4.53,0.795,0.78,,15.596,16.582,15.526,13.895
CONFIRMED,7.41683033,7.274,7.2600e+01,0.009246,3.36,0.0777,77.56,1425,973.85,0,0.873,179,20.6,0,0,0,0,4938,3.45,3.324,1.136,,13.007,13.683,12.931,11.564
CONFIRMED,0.727331746,0.8323,3.5740e+02,0.017336,0.67,0.0115,88.7,849,122.92,0,0.153,1423,20.4,0,0,0,0,3460,4.92,0.356,0.385,,15.527,17.329,15.901,12.858
CONFIRMED,1.302017467,1.3692,2.9050e+02,0.015357,1.37,0.0215,87.69,1344,772.73,0,0.286,1029,21.4,0,0,0,0,4948,4.508,0.816,0.782,,15.351,16.083,15.314,13.827
CONFIRMED,8.63050092,3.144,3.2580e+02,0.017113,1.43,0.0779,88.03,739,70.63,0,0.595,154,14.9,0,0,0,0,5352,4.599,0.764,0.857,,15.868,16.534,15.829,14.412
FALSE POSITIVE,12.49117388,2.848,1.8990e+02,0.013681,1.36,0.1008,88.14,763,80.08,0,0.747,108,17,0,0,1,0,5753,4.461,0.911,0.875,,14.521,15.031,14.465,13.308
CONFIRMED,3.27645723,2.219,3.2300e+02,0.016307,1.71,0.0443,90,1195,482.56,0,0.001,344,17.9,0,0,0,0,5812,4.504,0.963,1.079,,15.934,16.493,15.869,14.679
CONFIRMED,16.0573291,3.546,5.7500e+02,0.025772,2.27,0.1199,87.2,645,41.04,0,0.883,84,17.5,0,0,0,0,5644,4.575,0.806,0.9,,15.869,16.424,15.826,14.596
FALSE POSITIVE,8.44326557,3.353,3.5950e+02,0.017642,1.97,0.0844,88.65,934,179.79,0,0.42,138,19,0,0,1,0,6081,4.468,1.023,1.122,,15.351,15.809,15.266,14.194
CONFIRMED,4.60300256,2.6848,3.0250e+02,0.015352,1.32,0.0496,89.69,848,122.02,0,0.072,225,22.2,0,0,0,0,4821,4.529,0.788,0.765,,14.903,15.695,14.841,13.31
