koi_disposition,koi_period,koi_duration,koi_depth,koi_ror,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_eccen,koi_impact,koi_num_transits,koi_model_snr,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_steff,koi_slogg,koi_srad,koi_smass,koi_sage,koi_kepmag,koi_gmag,koi_rmag,koi_jmag
FALSE POSITIVE,1.50635409,1.5155,2.2117e+03,0.049899,4.53,0.025,79.38,1452,1054.12,0,0.86,882,181.1,0,0,1,0,5714,4.563,0.831,0.926,,15.525,16.051,15.474,14.266
FALSE POSITIVE,670.645531,53.412,1.8091e+04,0.131705,14.14,1.5155,89.53,196,0.35,0,0.701,3,642.7,0,1,1,0,5520,4.466,0.983,1.03,,15.207,15.533,14.917,13.678
FALSE POSITIVE,61.2563628,7.633,5.1233e+03,0.334628,39.87,0.3137,87.54,505,15.43,0,1.248,13,85.3,0,1,0,0,6144,4.402,1.091,1.093,,15.25,15.689,15.199,14.203
CONFIRMED,38.3775486,5.588,7.2420e+02,0.024901,2.82,0.2163,89.44,529,18.53,0,0.468,37,34.7,0,0,0,0,5481,4.369,1.036,0.915,,15.172,15.654,15.089,13.962
CONFIRMED,41.19725502,4.6297,2.2139e+03,0.041693,3.86,0.217,89.96,439,8.76,0,0.045,26,51.2,0,0,0,0,5031,4.485,0.848,0.801,,15.841,16.559,15.77,14.363
CONFIRMED,6.252962249,2.5819,1.0369e+03,0.028604,2.65,0.0617,89.68,823,108.3,0,0.105,167,47.1,0,0,0,0,5031,4.485,0.848,0.801,,15.841,16.559,15.77,14.363
CONFIRMED,16.01308419,3.2554,1.1219e+03,0.034369,3.1,0.1148,88.14,593,29.31,0,0.799,65,33.2,0,0,0,0,5015,4.499,0.826,0.785,,15.39,16.223,15.342,13.855
CONFIRMED,32.62876672,4.7971,1.8048e+03,0.03852,3.36,0.1889,89.98,506,15.55,0,0.021,34,80,0,0,0,0,5586,4.56,0.798,0.844,,15.082,15.64,15.04,13.824
CONFIRMED,91.7732862,6.473,6.5200e+02,0.02432,2.12,0.3764,89.61,359,3.92,0,0.606,11,19.1,0,0,0,0,5586,4.56,0.798,0.844,,15.082,15.64,15.04,13.824
CONFIRMED,4.959319244,2.22739,9.8020e+03,0.103379,12.21,0.0565,86.15,1103,349.4,0,0.831,269,696.5,0,0,0,0,5712,4.359,1.082,0.976,,15.263,15.715,15.209,14.123
FALSE POSITIVE,2.701287801,3.3827,8.6040e+02,0.06584,6.54,0.0365,62.69,1222,527.81,0,1.016,387,48.3,0,1,1,0,5550,4.468,0.91,0.889,,15.54,16.164,15.463,14.09
CONFIRMED,4.49876511,3.7362,4.6000e+02,0.019817,2.1,0.0542,88,1133,389.62,0,0.312,238,29.5,0,0,0,0,6075,4.486,0.969,1.048,,15.395,15.874,15.335,14.199
FALSE POSITIVE,19.65120951,5.2514,1.1766e+04,0.106953,12.42,0.1433,88.27,730,67.03,0,0.723,59,513.4,0,1,0,0,6074,4.391,1.063,1.014,,15.536,16.02,15.488,14.322
CONFIRMED,5.412203927,2.9472,6.0160e+02,0.024775,2.94,0.0591,85.12,1093,337.68,0,0.787,244,166.7,0,0,0,0,5779,4.339,1.087,0.941,,12.791,13.111,12.732,11.811
CONFIRMED,41.43958662,10.5989,2.7931e+03,0.048175,5.5,0.2288,89.31,516,16.72,0,0.355,33,141.1,0,0,0,0,5468,4.367,1.046,0.93,,15.4,16.068,15.32,13.948
CONFIRMED,8.35389523,2.2514,1.0416e+03,0.029305,2.52,0.0768,89.95,790,91.9,0,0.023,127,43.4,0,0,0,0,5592,4.582,0.787,0.862,,15.317,15.862,15.267,13.996
CONFIRMED,4.125543472,3.1744,1.4873e+03,0.036796,4.43,0.0529,85.95,1243,565.35,0,0.597,323,128.6,0,0,0,0,6174,4.417,1.103,1.162,,15.506,15.977,15.453,14.38
CONFIRMED,2.816504904,2.50587,1.6814e+04,0.117059,12.21,0.0383,89.37,1219,521.13,0,0.105,474,1406.8,0,0,0,0,5532,4.452,0.955,0.941,,15.052,15.636,14.988,13.732
FALSE POSITIVE,33.93373447,14.561,8.5037e+03,0.095386,7.34,0.1881,86.45,430,8.11,0,0.812,31,236.1,0,1,1,0,5040,4.628,0.705,0.782,,15.716,16.453,15.673,14.249
CONFIRMED,3.689920099,2.6557,4.2670e+02,0.018878,1.89,0.0469,89.19,1147,408.99,0,0.151,360,35.6,0,0,0,0,5880,4.518,0.917,1.01,,15.242,15.735,15.177,14.012
CONFIRMED,4.431238488,3.15,1.0109e+03,0.02933,3.25,0.0529,87.72,1104,351.23,0,0.405,302,71.1,0,0,0,0,5714,4.428,1.015,1.007,,15.367,15.912,15.311,14.179
CONFIRMED,11.37936986,2.6255,1.0235e+03,0.035628,3.95,0.0993,86.8,806,99.68,0,0.911,109,37.9,0,0,0,0,5714,4.428,1.015,1.007,,15.367,15.912,15.311,14.179
CONFIRMED,26.39432897,3.573,1.5109e+03,0.03681,3.07,0.1635,89.28,489,13.49,0,0.602,51,48.2,0,0,0,0,5129,4.595,0.763,0.846,,15.234,15.956,15.16,13.757
CONFIRMED,13.57078281,3.3539,5.1170e+02,0.023908,2.64,0.1096,87.07,785,89.61,0,0.866,101,88.4,0,0,0,0,5854,4.406,1.012,0.951,,12.882,13.293,12.85,11.752
CONFIRMED,7.12594387,3.0014,1.9240e+02,0.01512,1.79,0.0711,84.02,997,233.31,0,0.898,181,47.1,0,0,0,0,5779,4.339,1.087,0.941,,12.791,13.111,12.732,11.811
FALSE POSITIVE,7.442652004,2.3078,2.4446e+04,0.143936,15.03,0.0742,89.72,967,206.78,0,0.137,180,835.6,0,1,0,0,6108,4.469,0.956,0.981,,15.27,15.712,15.224,14.143
CONFIRMED,16.38489988,3.0249,1.1271e+03,0.029758,2,0.1084,90,433,8.35,0,0.001,65,28.9,0,0,0,0,4126,4.661,0.615,0.633,,15.095,16.328,15.068,13.153
CONFIRMED,7.8774163,2.0805,1.3061e+03,0.03209,2.16,0.0665,89.92,553,22.18,0,0.041,135,38.7,0,0,0,0,4126,4.661,0.615,0.633,,15.095,16.328,15.068,13.153
CONFIRMED,36.4454001,4.007,1.1223e+03,0.029681,1.99,0.1847,89.98,332,2.88,0,0.028,27,21.7,0,0,0,0,4126,4.661,0.615,0.633,,15.095,16.328,15.068,13.153
CONFIRMED,3.728732147,2.683,5.2265e+03,0.068178,6.02,0.0455,86.7,1023,258.34,0,0.558,357,345.2,0,0,0,0,5497,4.577,0.809,0.907,,15.523,16.107,15.461,14.179
